1	tribeca	1750.0	1	9	1	Apr 29 $1750 - 1 bedroom in 2 bedroom apt - 5/15 start $1750 / 1br - (TriBeCa)
2	upper east side	1778.0	1	6	1	Apr 29 Studio w/ Bay Window, Full Kitchen in Eco-Friendly Bldg, 1 Month Free $1778 (Upper East Side)
3	little italy	1875.0	2	4	1	Apr 29 2 Bdrm For Lease. You'll find this spacious and sunny convertible 2-bedroom wher $1875 / 2br - (Little Italy)
4	harlem 	1975.0	1	6	1	Apr 29 Fabulous Land-marked Location in Charming Community w/ Green Space $1975 / 1br - (Harlem / Morningside)
5	harlem 	1845.0	1	6	1	Apr 29 Contemporary Finishes in Newly Renovated Apt w/ All Utilities Included $1845 / 1br - (Harlem / Morningside)
6	greenwich village	1925.0	1	6	1	Apr 29 This one bedroom apartment has super unique detailing to it $1925 / 1br - (Greenwich Village)
7	east harlem	1995.0	1	6	1	Apr 29 Showing Now: 1BR entire top floor of brownstone $1995 / 1br - 750ft2 - (East Harlem)
8	upper east side	1950.0	1	13	1	Apr 29 LARGE STUDIO___NEXT TO BLOOMINGDALES___GORGEOUS59 ST & 2 AVE $1950 / 450ft2 - (Upper East Side)
9	upper east side	1550.0	1	3	1	Apr 29 UNBEATABLE DEAL ON REAL 1 BD APT, CAN'T BEAT THIS! WON'T LAST!! $1550 / 1br - (Upper East Side)
10	upper west side	1825.0	1	4	1	Apr 29 1 Bedroom - Move in TODAY - Great Place - Price you'll LOVE $1825 / 1br - (Upper West Side)
11	washington heights	1800.0	3	8	1	Apr 29 *** Remodeled *** 3BR/1BA Apt with Updated Kitchen $1800 $1800 / 3br - 725ft2 - (Washington Heights)
12	inwood 	1795.0	1	6	1	Apr 29 Apartment For Rent Students Welcomed No Broker's Fee $1795 / 1br - (Inwood / Wash Hts)
13	inwood 	1775.0	1	7	1	Apr 29 1 Bedroom Apartment For Rent No Broker's Fee $1775 / 1br - (Inwood / Wash Hts)
14	harlem 	1955.0	1	0	0	Apr 29 FABULOUS 1 BED APT--NEW RENOS--GR8 VIEWS--ATTND LOBBY--NO FEE $1955 / 1br - (Harlem / Morningside)
15	midtown east	1955.0	1	6	1	Apr 29 Wow nice cozy studio quite E 60 st one block from train! $1955 / 375ft2 - (Midtown East)
16	midtown west	1575.0	2	0	0	Apr 29 Unbeatable Amenities, Huge Windows, Granite Counters! $1575 / 2br - (Midtown West)
17	east village	1795.0	1	4	1	Apr 29 ABSOLUTELY AMAZING STUDIO WITH RENOVATED KITCHEN AND BATHROOM! EAST VILLAGE! $1795 / 2ft2 - (East Village)
18	east harlem	1670.0	9	5	1	Apr 29 Brand new Large 2 beds/2 bath renovated apartment! $1670 / 2br - (East Harlem)
19	hamilton heights	1970.0	2	6	1	Apr 29 AMAZNG! $1970 / 2br - (Hamilton Heights)
20	bowery	1545.0	2	0	0	Apr 29 Excellent Apt w/ the best in updates! $1545 / 2br - (Bowery)
21	upper east side	1750.0	2	5	1	Apr 29 New to the market ! $1750 / 2br - (Upper East Side)
22	clinton	1825.0	1	8	1	Apr 29 For Lease: 1 Bed / 1 Bath Apt $1825 / 1br - 600ft2 - (Clinton)
23	harlem	1924.0	3	5	1	Apr 29 Special almost OVER! $1924 / 3br - 800ft2 - (Harlem)
24	harlem 	1600.0	1	5	1	Apr 29 **Spacious Studio available ASAP! Located on 155th! Near Train!** $1600 (Harlem / Morningside)
25	harlem 	1900.0	1	7	1	Apr 29 NO BROKER'S FEE 2 Bedroom Apartment $1900 / 2br - (Harlem / Morningside)
26	morning side	1799.0	1	9	1	Apr 29 THIS IS SO INCREDIBLE HUGE 1 BR__TO DIE FOR __WEST 111 ST & 7 AVE $1799 / 1br - 650ft2 - (MORNING SIDE)
27	midtown west	1800.0	1	21	1	Apr 29 LUXURY NYC Apt near Times Sqr.! $1800 / 1br - 850ft2 - (Midtown West)
28	midtown west	1800.0	1	20	1	Apr 29 LUXURY NYC Apt near Times Sqr.! $1800 / 1br - 850ft2 - (Midtown West)
29	harlem 	1660.0	1	0	0	Apr 29 OVERSIZED STUDIO**TONS OF CLOSETS**DRESSING AREA**NO FEE $1660 (Harlem / Morningside)
30	chelsea	100.0	1	6	1	Apr 29 $100 OFF RENT FOR ALL 1 BEDROOMS!!!!!!!!!!!!!!!!!!!! $1879 / 1br - (Chelsea)
